32,18,15,38,59,2,46,32,56,92,30,50,63,30,14,91,22,77,49,33 | 32,18,15,2,32;38,59;46,30,14;56,30;92;50,22;63,33;91;77;49
32,67,41,95,24,43,7,94,63,64,36,12,58,25,55,24,86,79,93,91 | 32,67;41,24,7,12;95;43,36;94;63,25;64,24;58;55;86;79;93;91
8,49,39,40,97,86,87,51,44,99,53,57,99,10,53,70,23,25,81,25 | 8,49,39;40,51;97;86,10;87;44,53;99;57,23;99;53,25;70,25;81
61,15,68,46,91,28,88,86,75,33,23,13,16,49,10,9,69,90,11,42 | 61,15,23;68,28;46,33,13;91,9;88,10;86,11;75,16;49,42;69;90
98,37,13,3,6,97,39,20,40,46,46,15,51,27,82,33,24,60,26,93 | 98;37,13,3,6,39;97;20,40,15,24;46,46;51,27;82;33,60;26;93
32,77,46,63,86,91,78,94,58,49,46,49,4,15,75,36,35,61,4,35 | 32,46,4,15;77,4;63,36;86;91;78;94;58,35;49,46;49,35;75;61
7,52,88,4,47,38,81,54,53,46,53,9,32,80,87,82,49,34,17,3 | 7,52,4,9,17,3;88;47,38;81;54,46;53,32;53,34;80;87;82;49
5,58,60,63,69,61,58,2,80,5,8,71,52,33,16,66,55,54,98,16 | 5,58,2,5,8,16;60,33;63,16;69;61;58;80;71;52;66;55;54;98
81,83,61,81,79,13,53,40,41,18,53,27,54,20,8,27,77,89,21,32 | 81,13;83,8;61,18,20;81;79,21;53,40;41,53;27,54;27,32;77;89
38,90,90,31,50,21,79,61,83,82,17,79,68,2,98,42,64,33,29,64 | 38,31,21,2;90;90;50,17,33;79;61,29;83;82;79;68;98;42;64;64
23,88,12,7,37,64,4,21,16,68,21,23,18,64,48,95,21,87,83,15 | 23,12,7,37,4,16;88;64,21,15;68,21;23,18,48;64,21;95;87;83
43,39,87,7,52,78,3,35,13,83,1,31,11,74,18,75,60,38,10,90 | 43,39,7,3,1;87,13;52,35,11;78,18;83,10;31,60;74;75;38;90
86,63,13,2,56,81,31,87,99,47,32,26,68,43,53,99,59,88,83,27 | 86,13;63,2,31;56,32;81;87;99;47,26,27;68;43,53;99;59;88;83
58,57,23,89,25,14,37,44,47,82,39,51,26,45,91,12,50,5,26,49 | 58,23,14,5;57,25,12;89;37,44;47,39;82;51,26;45,50;91;26,49
81,80,74,98,86,88,70,61,46,31,34,86,36,62,4,76,79,4,47,7 | 81,4,4,7;80;74;98;86;88;70;61,31;46,34;86;36,62;76;79;47
41,79,91,18,67,50,62,22,71,89,82,39,91,90,73,3,22,30,64,58 | 41,18,22,3;79;91;67,22;50,39;62,30;71;89;82;91;90;73;64;58
99,5,60,81,33,63,51,92,15,86,2,34,17,86,50,66,38,90,44,57 | 99;5,60,33,2;81,15;63,34;51,17;92;86;86;50,38;66;90;44;57
38,17,78,12,47,92,11,33,14,57,21,33,79,88,8,64,74,40,36,7 | 38,17,12,11,14,8;78,21;47,33,7;92;57,33;79;88;64,36;74;40
88,90,63,11,47,75,76,43,93,71,90,35,53,58,67,27,19,27,83,89 | 88,11;90;63,35;47,43;75,19;76;93;71,27;90;53,27;58;67;83;89
84,25,61,42,53,25,89,29,82,91,80,23,53,49,83,58,66,1,68,22 | 84,1;25,61;42,53;25,29,23,22;89;82;91;80;53;49;83;58;66;68
38,8,62,12,83,23,98,32,26,15,93,81,85,86,21,65,70,48,46,7 | 38,8,12,23,15;62,32;83,7;98;26,21,48;93;81;85;86;65;70;46
2,49,39,44,54,52,28,66,63,54,98,36,3,57,17,86,83,22,86,99 | 2,49,39,3;44,54;52,28,17;66,22;63,36;54;98;57;86;83;86;99
10,6,92,100,32,95,87,39,16,64,89,48,32,77,68,91,67,85,10,1 | 10,6,32,39,10,1;92;100;95;87;16,64;89;48,32;77;68;91;67;85
14,58,1,19,41,58,4,58,58,61,51,20,43,27,79,3,27,18,78,67 | 14,58,1,19,4,3;41,58;58,20,18;58,27;61,27;51,43;79;78;67
71,9,64,43,43,95,41,44,16,7,3,24,35,85,17,96,74,86,13,7 | 71,9,16,3;64,7,24;43,43,13;95;41,44,7;35,17;85;96;74;86
15,38,44,97,64,25,43,95,63,60,55,20,69,12,100,43,81,32,79,94 | 15,38,44;97;64,25;43,55;95;63,20,12;60,32;69;100;43;81;79;94
34,15,6,68,74,1,43,84,17,32,16,60,96,79,19,87,50,100,39,25 | 34,15,6,1,43;68,17;74,16;84;32,60;96;79,19;87;50,39;100;25
14,67,72,50,51,37,100,24,3,33,96,63,61,57,66,62,82,73,55,89 | 14,67,3;72,24;50,37;51,33;100;96;63;61;57;66;62;82;73;55;89
24,74,63,82,72,97,18,3,98,22,1,11,76,23,18,63,37,49,9,57 | 24,74,1;63,18,3,11;82,18;72,22;97;98;76,23;63,37;49,9;57
7,30,44,5,8,9,86,67,64,2,83,32,88,15,67,55,33,19,31,72 | 7,30,44,5,8,2;9,86;67,32;64,15,19;83;88;67,33;55,31;72
18,89,80,79,16,34,3,91,86,9,98,2,35,65,3,70,80,30,68,61 | 18,80,2;89,3,3;79,16;34,9,35;91;86;98;65,30;70;80;68;61
78,98,1,91,32,79,33,34,39,56,23,41,36,24,17,68,25,5,37,77 | 78,1,17;98;91,5;32,33,34;79;39,56;23,41,36;24,68;25,37;77
14,84,61,89,6,88,57,23,7,6,81,8,92,85,83,50,51,38,61,21 | 14,84;61,6,23,7;89,6;88,8;57,38;81;92;85;83;50,21;51;61
77,65,80,6,94,39,10,40,57,11,25,20,72,4,59,92,69,11,40,84 | 77,6,10,4;65,11,20;80,11;94;39,40;57,25;72;59,40;92;69;84
28,63,94,78,41,23,26,39,44,18,49,71,54,45,84,37,52,11,72,53 | 28,63;94;78,18;41,23,26;39,44,11;49,45;71;54,37;84;52;72;53
75,49,83,81,52,58,34,50,56,77,20,71,4,89,33,34,97,11,96,32 | 75,20,4;49,34,11;83;81;52,33;58,34;50,32;56;77;71;89;97;96
85,48,66,60,19,32,18,34,98,76,92,57,92,6,89,21,53,77,99,25 | 85,6;48,19,32;66,18;60,34;98;76,21;92;57,25;92;89;53;77;99
52,75,15,4,33,92,67,45,25,35,10,77,76,99,43,21,65,68,77,58 | 52,15,4,25;75,10;33,67;92;45,35;77,21;76;99;43;65;68;77;58
65,59,53,57,20,77,60,25,31,67,84,37,55,46,17,48,79,2,28,63 | 65,20,2;59,25;53,31;57,37;77,17;60,28;67;84;55;46,48;79;63
88,96,66,61,3,62,73,43,40,13,42,2,66,29,86,6,83,75,9,88 | 88,3,2,6;96;66,13,9;61,29;62;73;43,40;42;66;86;83;75;88
98,51,3,79,63,23,95,77,15,36,4,17,79,62,78,74,90,45,9,90 | 98;51,3,23,15,4;79,17;63,36;95;77,9;79;62;78;74;90;45;90
46,13,5,88,49,49,85,66,97,99,45,53,83,39,64,27,26,2,88,81 | 46,13,5,27,2;88;49,49;85;66,26;97;99;45,53;83;39;64;88;81
13,59,4,79,9,81,65,15,21,56,44,89,86,43,41,12,76,99,78,41 | 13,59,4,9,15;79,21;81,12;65;56,44;89;86;43,41;76;99;78;41
86,3,6,75,81,40,8,38,84,1,40,23,89,9,91,18,41,45,45,40 | 86,3,6,1;75,8,9;81,18;40,38;84;40,23;89;91;41,45;45,40
36,74,29,23,74,38,74,71,94,77,88,69,60,92,35,44,53,25,19,75 | 36,29,23;74,25;74,19;38,60;74;71;94;77;88;69;92;35,44;53;75
47,59,38,9,66,19,4,34,44,66,17,12,96,5,13,31,11,74,18,43 | 47,38,9,4;59,19,17,5;66,34;44,12,13,31;66,11,18;96;74;43
71,37,32,10,100,50,17,2,24,83,75,76,64,89,57,37,91,96,70,71 | 71,10,17,2;37,32,24;100;50,37;83;75;76;64;89;57;91;96;70;71
